Loaded image features: (908, 768)

>>> Image SOM (CLIP) Training <<<

SOM training took: 0.124230 seconds.
Epoch  1 → QE=0.4998, TE=0.1586
SOM training took: 0.118838 seconds.
Epoch  2 → QE=0.4963, TE=0.1211
SOM training took: 0.114937 seconds.
Epoch  3 → QE=0.4999, TE=0.1465
SOM training took: 0.121854 seconds.
Epoch  4 → QE=0.4984, TE=0.1674
SOM training took: 0.118542 seconds.
Epoch  5 → QE=0.4959, TE=0.1795
SOM training took: 0.117681 seconds.
Epoch  6 → QE=0.5008, TE=0.1399
SOM training took: 0.118464 seconds.
Epoch  7 → QE=0.4988, TE=0.1619
SOM training took: 0.116997 seconds.
Epoch  8 → QE=0.5017, TE=0.1564
SOM training took: 0.116808 seconds.
Epoch  9 → QE=0.4972, TE=0.1465
SOM training took: 0.119147 seconds.
Epoch 10 → QE=0.5002, TE=0.1795
SOM training took: 0.116665 seconds.
Epoch 11 → QE=0.5012, TE=0.1355
SOM training took: 0.119358 seconds.
Epoch 12 → QE=0.4996, TE=0.1377
SOM training took: 0.118158 seconds.
Epoch 13 → QE=0.4990, TE=0.1531
SOM training took: 0.118406 seconds.
Epoch 14 → QE=0.5009, TE=0.1707
SOM training took: 0.118285 seconds.
Epoch 15 → QE=0.5013, TE=0.1399
SOM training took: 0.120650 seconds.
Epoch 16 → QE=0.5020, TE=0.1421
SOM training took: 0.117609 seconds.
Epoch 17 → QE=0.4999, TE=0.1520
SOM training took: 0.118475 seconds.
Epoch 18 → QE=0.5016, TE=0.1531
SOM training took: 0.120818 seconds.
Epoch 19 → QE=0.4947, TE=0.1509
SOM training took: 0.117045 seconds.
Epoch 20 → QE=0.4996, TE=0.1751
SOM training took: 0.117137 seconds.
Epoch 21 → QE=0.5058, TE=0.1256
SOM training took: 0.118794 seconds.
Epoch 22 → QE=0.4979, TE=0.1487
SOM training took: 0.123042 seconds.
Epoch 23 → QE=0.4952, TE=0.1509
SOM training took: 0.118975 seconds.
Epoch 24 → QE=0.5007, TE=0.1454
SOM training took: 0.118875 seconds.
Epoch 25 → QE=0.5006, TE=0.1641
SOM training took: 0.118399 seconds.
Epoch 26 → QE=0.5025, TE=0.1355
SOM training took: 0.117162 seconds.
Epoch 27 → QE=0.5017, TE=0.1421
SOM training took: 0.117594 seconds.
Epoch 28 → QE=0.5028, TE=0.1311
SOM training took: 0.119129 seconds.
Epoch 29 → QE=0.4978, TE=0.1531
SOM training took: 0.119123 seconds.
Epoch 30 → QE=0.4974, TE=0.1839
SOM training took: 0.119672 seconds.
Epoch 31 → QE=0.4942, TE=0.1663
SOM training took: 0.116129 seconds.
Epoch 32 → QE=0.5016, TE=0.1630
SOM training took: 0.115447 seconds.
Epoch 33 → QE=0.4995, TE=0.1531
SOM training took: 0.118453 seconds.
Epoch 34 → QE=0.4992, TE=0.1630
SOM training took: 0.117423 seconds.
Epoch 35 → QE=0.5001, TE=0.1619
SOM training took: 0.128915 seconds.
Epoch 36 → QE=0.4963, TE=0.1465
SOM training took: 0.119968 seconds.
Epoch 37 → QE=0.4948, TE=0.1432
SOM training took: 0.117780 seconds.
Epoch 38 → QE=0.4999, TE=0.1300
SOM training took: 0.119470 seconds.
Epoch 39 → QE=0.4998, TE=0.1707
SOM training took: 0.121454 seconds.
Epoch 40 → QE=0.4994, TE=0.1575
SOM training took: 0.117354 seconds.
Epoch 41 → QE=0.5055, TE=0.1498
SOM training took: 0.119365 seconds.
Epoch 42 → QE=0.5023, TE=0.1619
SOM training took: 0.120480 seconds.
Epoch 43 → QE=0.5034, TE=0.1509
SOM training took: 0.122353 seconds.
Epoch 44 → QE=0.4982, TE=0.1619
SOM training took: 0.114535 seconds.
Epoch 45 → QE=0.5018, TE=0.1311
SOM training took: 0.115569 seconds.
Epoch 46 → QE=0.5006, TE=0.1366
SOM training took: 0.120454 seconds.
Epoch 47 → QE=0.4925, TE=0.1443
SOM training took: 0.116293 seconds.
Epoch 48 → QE=0.5013, TE=0.1388
SOM training took: 0.119781 seconds.
Epoch 49 → QE=0.4970, TE=0.1707
SOM training took: 0.121722 seconds.
Epoch 50 → QE=0.4929, TE=0.1729
SOM training took: 0.121946 seconds.
Epoch 51 → QE=0.4965, TE=0.1641
SOM training took: 0.122499 seconds.
Epoch 52 → QE=0.5033, TE=0.1443
SOM training took: 0.122045 seconds.
Epoch 53 → QE=0.5002, TE=0.1729
SOM training took: 0.123674 seconds.
Epoch 54 → QE=0.5034, TE=0.1256
SOM training took: 0.123088 seconds.
Epoch 55 → QE=0.5005, TE=0.1222
SOM training took: 0.117332 seconds.
Epoch 56 → QE=0.4992, TE=0.1575
SOM training took: 0.117341 seconds.
Epoch 57 → QE=0.4986, TE=0.1674
SOM training took: 0.667817 seconds.
Epoch 58 → QE=0.5030, TE=0.1817
SOM training took: 0.652161 seconds.
Epoch 59 → QE=0.5043, TE=0.1244
SOM training took: 0.653161 seconds.
Epoch 60 → QE=0.5041, TE=0.1189
SOM training took: 0.738281 seconds.
Epoch 61 → QE=0.4956, TE=0.1608
SOM training took: 0.113579 seconds.
Epoch 62 → QE=0.5018, TE=0.1520
SOM training took: 0.120018 seconds.
Epoch 63 → QE=0.4964, TE=0.1751
SOM training took: 0.119151 seconds.
Epoch 64 → QE=0.4971, TE=0.1553
SOM training took: 0.116411 seconds.
Epoch 65 → QE=0.4988, TE=0.1674
SOM training took: 0.116109 seconds.
Epoch 66 → QE=0.5034, TE=0.1531
SOM training took: 0.117428 seconds.
Epoch 67 → QE=0.4953, TE=0.1311
SOM training took: 0.114350 seconds.
Epoch 68 → QE=0.5019, TE=0.1564
SOM training took: 0.117221 seconds.
Epoch 69 → QE=0.4936, TE=0.1531
SOM training took: 0.116296 seconds.
Epoch 70 → QE=0.5043, TE=0.1575
SOM training took: 0.116702 seconds.
Epoch 71 → QE=0.4961, TE=0.1564
SOM training took: 0.115999 seconds.
Epoch 72 → QE=0.4990, TE=0.1564
SOM training took: 0.118258 seconds.
Epoch 73 → QE=0.5019, TE=0.1377
SOM training took: 0.113854 seconds.
Epoch 74 → QE=0.4975, TE=0.1432
SOM training took: 0.121672 seconds.
Epoch 75 → QE=0.4991, TE=0.1751
SOM training took: 0.121629 seconds.
Epoch 76 → QE=0.5019, TE=0.1476
SOM training took: 0.723035 seconds.
Epoch 77 → QE=0.4948, TE=0.1685
SOM training took: 0.669247 seconds.
Epoch 78 → QE=0.4928, TE=0.1773
SOM training took: 0.658593 seconds.
Epoch 79 → QE=0.5020, TE=0.1366
SOM training took: 0.641477 seconds.
